Date of Sale,Address,Postal Code,County,Price ,Full Market Price,VAT Exclusive,Description of Property
18/02/2022,"1 BERKELEY STREET, PHIBSBOROUGH, 7",0,Dublin,"620,000.00",0,0,0
18/02/2022,"14 BELARMINE GROVE, BELARMINE WOODS, STEPASIDE",18,Dublin,"625,000.00",0,0,0
18/02/2022,"14 HALLWELL AVENUE, HALLWELL, ADAMSTOWN",0,Dublin,"339,207.05",0,1,1
18/02/2022,"18 GLENARM AVENUE, DRUMCONDRA, 9",9,Dublin,"820,000.00",0,0,0
18/02/2022,"28 MOYLARAGH DR, BALBRIGGAN, DUBLIN",0,Dublin,"255,000.00",0,0,0
18/02/2022,"30 HALLWELL AVENUE, ADAMSTOWN, LUCAN",0,Dublin,"352,422.91",0,1,1
18/02/2022,"34 MALIN HALL, WATERVILLE TERRACE, WATERVILLE 15",15,Dublin,"275,000.00",0,0,0
18/02/2022,"494 HOWTH RD, RAHENY, 5",5,Dublin,"870,000.00",0,0,0
18/02/2022,"57 SOUTH CIRCULAR ROAD, 8",15,Dublin,"695,000.00",0,0,0
18/02/2022,"APT 25, NORSEMAN COURT, MANOR ST 7",7,Dublin,"250,000.00",0,0,0
18/02/2022,"CASINO LODGE, 8 CASINO DR, MALAHIDE",0,Dublin,"969,163.00",0,1,1
18/02/2022,"LINDOS, NORTHCLIFF HEIGHTS, SKERRIES",0,Dublin,"640,000.00",0,0,0
17/02/2022,"1 LIFFEY HALL, LIFFEY VALLEY PARK, LUCAN",0,Dublin,"320,000.00",0,0,0
17/02/2022,"10 WESLEY RD, RATHGAR, 6",6,Dublin,"675,000.00",0,0,0
17/02/2022,"111 CEDAR BROOK AVE, CHERRY ORCHARD, 10",10,Dublin,"190,000.00",0,0,0
17/02/2022,"13 HILLTOWN PARK, RIVERVALLEY SWOARDS, DUBLIN",0,Dublin,"425,000.00",0,0,0
17/02/2022,"147 TIMBER MILLS, KILMORE RD, ARTANE 5",5,Dublin,"228,500.00",0,0,0
17/02/2022,"16 MELLIFONT AVE, DUN LAOGHAIRE, DUBLIN",0,Dublin,"1,350,000.00",0,0,0
17/02/2022,"18 BERRYFIELD, FINNSTOWN PRIORY, LUCAN",0,Dublin,"427,000.00",0,0,0
17/02/2022,"24 GLENARM SQUARE, DRUMCONDRA, 9",9,Dublin,"339,000.00",0,0,0
17/02/2022,"25 LR ST BRIGIDS RD, DRUMCONDRA, 9",9,Dublin,"695,000.00",0,0,0
17/02/2022,"27 PARK ROAD, GLENAGEARY HEIGHTS, DUN LAOGHAIRE",0,Dublin,"525,000.00",0,0,0
17/02/2022,"29 VERSCHOYLE PARK, SAGGART, DUBLIN",24,Dublin,"212,000.00",0,0,0
17/02/2022,"31 THORMANBY LAWNS, HOWTH, DUBLIN",13,Dublin,"860,000.00",0,0,0
17/02/2022,"39 ROEBUCK HILL, CLONSKEAGH, 14",14,Dublin,"450,000.00",0,0,0
17/02/2022,"4 CRAIGLANDS, ARDEEVIN ROAD, DALKEY",0,Dublin,"545,000.00",0,0,0
17/02/2022,"4 KILCARRIG CLOSE FETTERCAIRN, TALLAGHT 24, DUBLIN",24,Dublin,"160,000.00",0,0,0
17/02/2022,"51 HAZELBURY GREEN, CASTAHEANY, 15",15,Dublin,"415,000.00",0,0,0
17/02/2022,"59 RATOATH EST, CABRA WEST, DUBLIN",7,Dublin,"400,000.00",1,0,0
17/02/2022,"69 MARLFIELD GREEN, KILTIPPER, TALLAGHT 24",24,Dublin,"364,000.00",0,0,0
17/02/2022,"7 DEERHAVEN PARK, CLONEE, 15",15,Dublin,"256,000.00",0,0,0
17/02/2022,"72 HAZEL AVE, KILMACUD, BLACKROCK",0,Dublin,"625,000.00",0,0,0
17/02/2022,"APT 11 HILLCREST, 94 95 RATHGAR RD, RATHGAR 6",6,Dublin,"216,000.00",0,0,0
17/02/2022,"APT 14 BLOCK C, ROSEBANK COURT, CLONDALKIN",22,Dublin,"190,000.00",0,0,0
17/02/2022,"APT 21, HANOVER QUARTER, GRAND CANAL DOCK",2,Dublin,"745,000.00",0,0,0
17/02/2022,"BALDRUMMAN HOUSE, LUSK, DUBLIN",0,Dublin,"585,000.00",0,0,0
17/02/2022,"LOWER COMMONS, GARRISTOWN, CO.DUBLIN",0,Dublin,"615,000.00",0,0,0
16/02/2022,"11 CASTLE PARK, MONKSTOWN, DUBLIN",0,Dublin,"920,000.00",0,0,0
16/02/2022,"13 ANNAGH COURT, WATERVILLE, BLANCHARDSTOWN 15",15,Dublin,"250,000.00",0,0,0
16/02/2022,"15 EGLINTON WOOD, EGLINTON RD, DONNYBROOK 4",4,Dublin,"469,000.00",0,0,0
16/02/2022,"153 MOYVILLE, RATHFARNHAM, 16",16,Dublin,"530,000.00",0,0,0
16/02/2022,"16 PARKLAND TERRACE, PARKLANDS, CITYWEST",0,Dublin,"352,423.00",0,1,1
16/02/2022,"16 RIVERVALE, ASHTOWN, 15",15,Dublin,"385,000.00",0,0,0
16/02/2022,"17 RAILWAY MEWS, CLONGRIFFIN, 13",13,Dublin,"450,000.00",0,0,0
16/02/2022,"196 PALMERSTOWN WOODS, CLONDALKIN, 22",22,Dublin,"331,000.00",0,0,0
16/02/2022,"2 LA BAS MEWS, EFFRA ROAD, RATHMINES",6,Dublin,"795,000.00",0,0,0
16/02/2022,"21 HAMPTON COURT, TYRCONNELL RD, INCHICORE 8",8,Dublin,"235,000.00",0,0,0
16/02/2022,"22 DUNARD DR, NAVAN RD, 7",7,Dublin,"330,000.00",0,0,0
16/02/2022,"22 THE SQUARE, LARCH HILL, SANTRY 17",17,Dublin,"252,000.00",0,0,0
16/02/2022,"28 MERRION ST UPPER, 2",2,Dublin,"800,000.00",0,0,0
16/02/2022,"3 ASH GROVE, LUSK, DUBLIN",0,Dublin,"255,000.00",0,0,0
16/02/2022,"39 THE CRESCENT, ONGAR VILLAGE, ONGAR",15,Dublin,"293,500.00",0,0,0
16/02/2022,"40 INVER RD, CABRA WEST, 7",7,Dublin,"408,000.00",0,0,0
16/02/2022,"411 SWIFTWOOD, GARTERS LANE, SAGGART",24,Dublin,"217,500.00",0,0,0
16/02/2022,"43 OLD BAWN AVE, OLDBAWN, 24",24,Dublin,"440,000.00",0,0,0
16/02/2022,"54 SHACKLETON HOUSE, ARCHERSWOOD, 15",15,Dublin,"275,000.00",0,0,0
16/02/2022,"55 CALEDON RD, WALL RD EAST, 3",3,Dublin,"293,000.00",0,0,0
16/02/2022,"58 CASTLECURRAGH HEATH, MULHUDDART, 15",15,Dublin,"300,000.00",0,0,0
16/02/2022,"58 STILLORGAN HEATH, STILLORGAN, DUBLIN",0,Dublin,"685,000.00",0,0,0
16/02/2022,"7 CAMAC VIEW, KILMAINHAM LANE, 8",8,Dublin,"445,000.00",0,0,0
16/02/2022,"71 KINVARA RD, NAVAN RD, 7",7,Dublin,"485,000.00",0,0,0
16/02/2022,"73 AILESBURY RD, BALLSBRIDGE, 4",4,Dublin,"11,700,000.00",0,0,0
16/02/2022,"75 CALEDON RD, EAST WALL 3, DUBLIN",3,Dublin,"341,000.00",0,0,0
16/02/2022,"8 OWENSTOWN PARK, OFF FOSTER AVE MOUNT MERRION, BLACKROCK",0,Dublin,"990,000.00",0,0,0
16/02/2022,"96 ARDILEA CRESCENT, HEIDELBERG, ARDILEA",14,Dublin,"568,282.00",0,1,1
